用户名,时间,评论内容
冰冰,2019-05-29T00:11:46.000Z,房车旅行，近年来已经流行起来，夜宿房车更是家常便饭。但入住公交车，享受独立小别墅的感受还是第一次。上下两层，设备齐全，与酒店无异。但区别在于，可以一次住5个人，非常适合家庭亲子游，闺蜜游，好基友游。晚上，还可以进行自助烧烤，吃火锅，欣赏月光与星海。一晚上488，如果住五人，人均不足100，非常划算。要不要来找找你的星座？
五十二,2019-05-27T04:07:11.000Z,大峡谷最著名的就是漂流，一到夏天人就很多，漂流还是很刺激的，很多弯弯道道还有一段隧道一样的，进去还有些害怕漂流的距离还是挺长的，峡谷两旁植被丰茂，满眼苍翠，天气阴的时候云雾缭绕，别具风韵，还有很多的瀑布，飞流直下，很壮观。
林隐者,2019-05-15T02:26:41.000Z,河南好山好水多，夏天热的啊。来这边漂流是真的舒服，约上几个人一起啊，里面挺凉快的，开发的一般，只能说漂流是真的舒服，一定要漂流，水还比较干净，然后有好多松鼠，好可爱！！！！！！！！！！！！！！！🌚🌚🌚🌚🌚树也很多，知名的不知名的都有(⊙o⊙)哇
抄手吃两碗,2019-05-14T09:21:26.000Z,小丑节去的那天真的很热除了峡谷和一个大瀑布个人感觉没啥玩的特别是管理，让人觉得不像是一个大景区应该有的样子首先峡谷里观光车真的太少的，最多两辆，其实我只见了一个人一直在往返，走不动了都没办法硬着头低走其次百草园的观光车没人管，没人阻止排队，有车来大家是靠抢的……没有漂流怕冷，所以除了漂流，没有吸引我的地方
炫舞_3566,2019-04-20T14:58:13.000Z,豫西大峡谷内几处悬崖绝壁势如刀削，走在高高的木桥上有点慌。这里植被丰茂，峰峰相连，步移景换，河道蜿蜒曲折，汉川峪河是寻峪河的一条支流，流经峡谷汇集多处瀑潭，形成“十步一瀑，五步一潭”的神奇景观。可惜这次我们去的时候有些河道干涸了，并不能漂流，不过风景还是挺不错的。
曲奇呼呼,2019-04-15T00:26:00.000Z,清明假期，带父母来转，其实因公因私来过几回了，但是还是值得再来的，公公婆婆第一次来，玩的挺开心，自然山水，风光无限！当然这里最好玩的是漂流，要到山花烂漫，夏日艳阳天来，备好手机防水袋，一套干的衣服。哈哈
晓晓的梦想,2019-03-14T08:31:21.000Z,2019年大众点评第279条豫西大峡谷漂流看着十年前的我，还真的是蛮年轻的呀现在一晃，都成中年妇女了豫西漂流是跟团二日游虽然当天淅沥沥的下着小雨，但是丝毫不影响我们游玩的乐趣。水上漂流还是蛮有意思，蛮刺激的，也需要一定的配合，才可以。漂流完冲洗的地方比较简陋。
白云晴语,2019-03-10T13:12:44.000Z,周末跟团一日游，来到豫西大峡谷。豫西大峡谷是一个好地方，天热时有漂流，一路基本是慢上坡，老少皆宜。只是我们去的早了点，基本没有什么绿色。但是，空气好，心情舒畅，登高望远，眺望着从沟上流下的瀑布，心旷神怡，很多驴友竟唱起了歌。来表达他们开心，放松的精神状态！桃花两天前还没开（听导游说的，两天前带了一个团来过）两天后的花大部分都已经绽放！迎春花也在路边慢慢开放，让旅游的客人，看到了浓郁的，春的气息，真好！
Kitty,2019-01-04T05:43:20.000Z,选择的时间正好不是非常晒，漂流地方外面还有个百草园，里面有个地方有花，会有蝴蝶。我是和最好的闺蜜一起的，玩得很开心，同时挖掘了自己划船技能，全程男友力max，实在是交给她划的话老是转圈圈。天热的时候玩水真的很爽。最重要的是和谁一起。如果是团建人比较多，还可以买些水枪，在平坦水段打个水仗也不错。
竹青箐,2018-12-26T04:29:58.000Z,豫西大峡谷 是三门峡市的重要景区，需要成整一天的时间才能逛完景区内有很多的自然旅游资源，比如像瀑布，详细，还有各种各样的树木围绕在山间，整个都是一个休闲的好地方。大峡谷内重要的网络方式就是漂流，不过感觉大部分漂流都比较的水，所以我觉得还是以欣赏自然风光为主。
娟_8382,2018-12-15T01:26:49.000Z,我们开了好远开了好多山路 到了景区竟然没有人  没有人  服务电话都没有人接  周围的民宿小饭店都没人 让我们一车人毛骨悚然啊
没有少女心的美少女,2018-10-08T05:01:06.000Z,那天去的时候天特别的蓝 所有的风景都超级好看 这条路特别适合拍照 漂流也很好玩儿 就是在玩儿的时候一定要多带一身衣服 会搞的各种湿 现在天冷了 要玩儿得等明年了 穿拖鞋去 防晒做好就可以放心的玩儿了 有机会还会再去一次的
点小评4084770127,2018-09-05T04:24:03.000Z,山洞是一个特色，但是没很多刺激…
东东_3154,2018-09-02T14:02:51.000Z,🌈豫西大峡谷位于卢氏官渡口镇。🌈景区分为大峡谷、漂流、豫西百花园三部分。大峡谷漫步，只见青山如黛、幽谷叠翠、银练飞泻、野花丛生，宛如一幅山水画卷，给人以极好的视觉享受和心理享受。在景区中可以根据时间自由选择游览豫西第一飞瀑——大淙潭瀑布群、白龙潭、九曲瀑、三叠峡谷等瀑布潭池景观。🌈豫西大峡谷的漂流，驾双人漂流船穿越壮美的峡谷间，体验国内独有的暗河漂流“飞龙洞”、飞驰急下的“凤翔洞”、落差达40米的“勇士洞”，感受落差达45米的回旋漂流，越过浪漫刺激瀑布漂流，让您尽情体验刺激的漂流感觉。🌈请避开节假日，人超多。
幽悠草儿,2018-08-23T00:07:21.000Z,周末来几家人商量后组织的来了一趟豫西大峡谷！开车大概三个多小时！！网上提前订的票，到了地方，除了一张门票因为时间不到，没法兑换以外，十二张漂流加门票的都兑换了，又花60在售票口买了一张！售票口进去，有很多农家乐供选择，我们一开始选择的21号，漂流出来没有水，洗不成澡，又换到了88号！农家乐的条件真是不敢恭维，卫生间的马桶已经把上面的盖子和坐垫丢了个干净！核心设施差的不是一星半点！漂流大概持续不足一小时，水温较凉，浑浊，漂流过程还算刺激，但相较于210的门票，就单薄了！东北最大的漂流，两个多小时才二百多！晚饭就在农家乐解决，大家千万别被什么篝火晚会蒙蔽，我们提前问了，八点点火。点菜喝上酒了，八点不点火，一问，点火200块！坑就是这样形成的！饭菜还是可以的！
SS小婷丶姐ss,2018-08-18T14:29:14.000Z,出票很快，客服非常好特别有耐心，不懂得还电话咨询了，在景区换票也很方便，今天水质还可以，人多玩的也很开心，好几个地方挺惊险刺激的。可就是景区的人可不可以把救生衣马甲晾一晾，救生衣上面全是黑色的霉点子，当时恶心的要死根本穿不到身上，好不容易找一件能穿的吧绳子还是坏的，工作人员懒得动可以找个绳子搭一下啊，还有安全帽子基本都是湿乎乎，绳子好多都是坏的，一股发霉臭臭的味道，哎呀这一个人200多呢，就不能把装备更新一下嘛
anmi,2018-08-18T14:25:23.000Z,一个山美水美的地方门票建议提前2小时在大众点评买好呢，售票处的价位是60➕168元。漂流很刺激，比秦岭刺激多了。就是漂流完的车有点贵，30一个人。景区里有个999个阶梯的，建议去挑战下呢，哈哈哈哈哈哈。
不是大仙,2018-07-30T06:48:10.000Z,坐标：老家山沟沟里的小峡谷土生土长的孩纸啊，还是第一次来这儿玩、门票➕漂流200/人，送的有百草园票，可惜太热都没去～准备工作：换洗衣服，凉鞋，手机防水套，防水防晒霜，防晒袖，防晒衣…纯净水，干粮，水枪🔫（也有带面盆的😄）网上购票建议提前一天订，自驾车从卢氏县城到大峡谷约40分钟，路很好走，走国道就可以，途中的自然风景也不要错过喽、漂流全程约2个小时，人家都慢悠悠的、我们几个跟比赛似的1个半小时不到就结束了，哈哈～返程有客车，30/人，也可以步行回去（散步回去约1个小时，其实说笑走着也不累的）河道没有过多人工修剪，还是保留着大自然原本的味道，刺激的关卡不多，看到很多带小孩过来玩儿的。嗯，全程给三星半🌟吧，扣分在于不够刺激
小草,2018-07-24T05:47:05.000Z,豫西大峡谷，第一次来，如自己有车最好开车来，坐车不太方便，但是村里的人很热情，带孩子来玩，先去了白草园，环境不错，上边还有耍猴的，孩子看的都不想走，因时间问题，赶紧出来了，下站漂流，玩漂流的人很多，一开始我很怕，后来发现越来越刺激，太爽了，玩的很嗨！很不错的地方，建议大家来玩。
点小评7560627915,2018-07-24T03:29:36.000Z,坑的要死，门票60，没半价。停车5元，百草园里面没啥玩的，只有几只猴子在那努力表演，漂流168，回程车要30元，还不让你开车下去接人，冲一下澡还要10，小孩要不不让带，要不全票，坑坑，4个大人，一个1.4米的两个不超1.2米的，一共玩下来就花了1500多，坑死了，要不是跑了300公里路，打死我都不玩
明_95364,2018-07-13T04:21:33.000Z,豫西大峡谷漂流很不错，有惊无险，建议大家去游玩！
Hello劉某某,2018-05-26T01:59:12.000Z,山清水秀，漂流特别好，挺大的。挺好玩。
冬日暖阳先生,2018-04-28T15:00:23.000Z,豫西大峡谷位于三门峡卢氏县，在豫西大峡谷口下高速，还有大于12公里的路，还算比较好走。现在门票是40元，网上提前4小时的话还可以有更便宜的，还要花10元电动车的钱到一处，要走说是999个台阶到达大淙谭瀑布，是景区的核心景点，飞流直下，还是非常壮观的。豫西大峡谷最值得玩的应该是漂流，票价168元，漂流的距离非常远，还要穿过几个山洞，落差也很大，想想就很刺激，但我们去那天下着雨，也比较冷，漂流没有开。整个峡谷植物茂盛，品种多样，烟波浩渺，云蒸雾绕，非常漂亮，沿溪流而下，有很多漂亮的景观，还有很多故事，很多与王莽赶刘秀的相关。还是一个很值得去的地方。
