用户名,时间,评论内容
匿名用户,2019/7/12,不值这个价钱，还是去尧山吧，漂流168，门票50，逗我，我就去玩个漂流，相当于多掏50，门票50，哎 商家回复： 2019-07-14 亲爱的游客，因为咱们豫西大峡谷是山水景区，而漂流属于景区的项目，其实咱们进去景区不仅可以漂流还可以欣赏下山中的美景，瀑布，也是都是很美的。
THm143282235,2019/7/19,自然漂流，还不错，就是还没过瘾就到头了
LY71522221,2019/7/18,感觉欺骗了消费者，门票没多少钱
四海阿磊,2019/7/15,值得一游！ 商家回复： 2019-07-15 亲爱的游客，感谢你的支持和评价，我们很荣幸这次游玩给您带来了很多快乐。我们会继续努力做的更好。
_weixin289054495,2019/7/16,挺好玩的
不愿将就是豆豆,2019/7/8,美团的话一定要提前买票，2个小时后才可以取票
匿名用户,2019/7/4,第三次去了，前两次还好，这次下水遇到了工作人员态度非常不好。不会再去了
KoY135001396,2019/5/4,"美团买票大老远到了现场。说孩子不够高。不让漂流。结果说来说去，是孩子没买票不让玩。非让1.1的孩子买了张99的全票，也不说我这不够高了。不就是想多收钱吗？还没有 <span class=""feedbackmore"">儿童票。只卖成人全价票。我两个大人一艘艇带个孩子能多占用你什么？还是我孩子买了张全价票，你会让她自己坐艘艇？外出游玩多年，从未没见过如此贪婪的景区。以后绝不会再去。建议带孩子的多斟酌再决定 <i class=""text-icon icon-toggle-arrow"">"
xiy502031269,2019/6/30,还可以吧，漂的时间也挺长的，漂完了走回去最好了
l649819974,2019/7/3,漂流挺刺激的
匿名用户,2019/6/12,洗浴的地方在漂流的终点，干净衣服只能放在起点。洗完之后还得穿着湿衣服回到起点。以后不会再来了。
NTp248904483,2019/6/9,体验最差的一次漂流，洗澡处在漂流结束的地方，而换洗衣服都在售票处，就算冲了澡也要穿着又脏又湿的衣服回去
还好、我还好,2019/6/15,漂流最刺激，百草园植物多。。。。。。
还好、我还好,2019/6/15,漂流巨爽，建议组队来玩。
AK611188,2019/6/11,「三叠峡谷」「豫西大峡谷漂流」 【环境】 【交通】嗯
apple5800,2019/6/6,漂流不错，只是还要收景区门票就有点绑架消费了
匿名用户,2019/5/12,景点对于我这个跨省客人来讲真心觉得不咋滴呀！住在附近休闲一下可以，远道而来没必要了！
XEU149096869,2019/5/12,是假期领孩子去的，孩子们都喜欢大人们也很喜欢
qinqinchouduoer2,2019/5/4,还行吧，去过几次了，这次是带孩子一起去的，宝贝很开心，就是有些贵。
辣辣0314,2019/5/2,超级刺激，超级凉快，就是时间能长点就好了
XOV654414014,2019/3/6,玩的很开心 就是没人管怎么拿船 什么都是自助式的
龙郁金香,2019/2/16,很好的，孩子们玩的挺开心的。值得推荐
DGs190291641,2019/2/13,【项目】太少 【环境】不好 门票太贵
lbchenxi,2019/2/7,不玩漂流去也没多大意思。。。。。。
匿名用户,2019/1/19,服务热情，景色不错，值得一去
青睐你的我,2019/1/18,好评
青睐你的我,2019/1/18,好评
wang723678660,2018/12/29,不错哦，就是带姑娘来的，她太小了不能玩，明年带我家儿子过来玩😄
exW771347124,2019/1/8,还可以
一颗草莓🍓,2018/12/23,还行吧第二次来了.........
GRs200529196,2018/12/23,很好，值得推荐。
fcY772301620,2018/12/19,纯自然大漂流，刺激，有情趣
富婆！,2018/8/8,"坐标：河南省三门峡市卢氏县豫西大峡谷 【交通】卢氏县城内有大巴车直达的，不过还是建议自驾车，方便一点。停车场5元/次，也不贵 【项目】主要玩的就是漂流，票价加门 <span class=""feedbackmore"">票美团是190，现场220左右，返程有30一个人的客车可以坐。走回去大概一个小时，其实也不累，走走看看风景。漂流全程大概一个半小时，售票处卖的有水枪，10元一个、还有一定要多准备一套衣服换洗。 【餐饮】出了景区路边有民宿饭店，价格还算合理。建议不要点什么炖鸡之类的，高压锅速成的讲真味道一般，点些普通菜就好了（没必要吃本地菜之类的，味道都是大差不差的）卢氏人民很不错，热情好客的，还在那借洗衣机洗了衣服 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2018/10/8,环境不错，可能是秋天的原因，人比较少，漂流应该是不错的选择。票价偏高
函轩爱美味,2018/9/3,刚好赶上特价，省不少钱。孩子还没走就提议明年再来。景区挺干净的，不管公路还是小路都有人打扫。时间不太赶两天一夜更完美，明年再来
等你583,2018/12/5,已经去玩过一次了，特别喜欢！！！！！！
rzV860495024,2018/12/3,挺好的👌👌玩的挺好 不错👍
Ly6868123,2018/11/18,好的很，最好的漂流，真心的朋友好呀！
jMC457446192,2018/7/20,"坐标:河南省三门峡市卢氏县豫西大峡谷 【环境】途中的风景很好，回归大自然 【交通】自驾车会比较方便一点，停车场5元/位居 【项目】主要就是为了漂流来的，大概一个 <span class=""feedbackmore"">半小时结束，送的有百草园门票，太热没去 【餐饮】结束后出景区有民俗饭店，价格还算合理的 【环境】总归是一次还不错的旅行，安排 <i class=""text-icon icon-toggle-arrow"">"
青松傲雪5303,2018/8/15,"先说优点:景区环境不错，漂流落差好大的，有刺激感，尤其是三个经过的人造涵洞，超爽！ 缺点:飘完后回程绝对没有景区说的5公里那么远应 <span class=""feedbackmore"">该是2-3公里，车费太贵每人30包括1.2米左右的孩子，存在欺骗消费者，误导坐车。存放衣服的柜子一次10元，冲澡10元，本人觉得这俩个收费不合理，应该为客人免费提供，这是漂流的基本服务。 <i class=""text-icon icon-toggle-arrow"">"
pIl81810642,2018/7/19,"我们是从郑州去的 也就三四个小时 我们一共六个人 人多去特别热闹 当地环境特别好而且人也都很热情 漂流特别刺激 装备特别齐全 安全设施非常到位 完全不用担心 我 <span class=""feedbackmore"">们玩了几个小时都没玩够 强烈推荐 夏天没地方去就来三门峡漂流 水也特别清澈 绝对不白来一趟 附加：小哥哥小姐姐特别多哦 😝 <i class=""text-icon icon-toggle-arrow"">"
六叶无花,2018/8/20,"简单说干啥都要钱，记住是干啥都要“钱”，本来免费的返程车和洗澡都要花钱，洗澡堂环境不好，收费不说还没有沐浴露和洗头膏。而且卡片的二天之内还能玩，我就晕了，谁大老 <span class=""feedbackmore"">远的来天天玩漂流。景区景点和漂流相当于强制性购买，不买就不能漂流。去过我说的没错的话就点个赞吧，毕竟我这人爱说实话。 <i class=""text-icon icon-toggle-arrow"">"
Yvn539394220,2018/11/12,很刺激，很好玩，就是回程要加钱，给的救生衣不太干净
傻瓜才会计较,2018/11/8,夏天去很不错 就是回来时候第一段聚走的特别特别费劲呢
KUANG吃逛吃,2018/8/25,玩的挺好，只是一月之内涨价了，心碎！漂完后要一人30块钱座景区车回起点，路程5公里，全程5分钟！真是趁人浑身湿漉漉的宰人！虽说去旅游就是扔钱，但是这也太坑了，一车拉二三十人，一趟能赚小一千？！666
围心之人,2018/10/2,景色不错，而且国庆节票价下调，售票窗口也是50元一张。漂流是12:30之后。
匿名用户,2018/7/30,"漂流很刺激，就是这里的服务太差，太没水准，其他几个验票的说话素质还可以，就是图中这个像个地痞一样！！！说话很没素质！！！我们买门票的时候告诉我们可以两天内有效， <span class=""feedbackmore"">但是没人说要我们登记，我们当天是下午去的漂流完什么也没逛，就第二天大早上去了。谁知道不让进，态度还不好，如果好好说话我们不进去就算了，可图上这个人居然说了句*卡的背面有，你没长眼看啊！*然后就像痞子一样让我们走！！！说话真气蛋！既然可以两天内重复入院，为何要登记，明明卡可以检验出我们的到的时间，既然登记为何当时每一个人说下，自己服务做的不完善，说话还这么没素质！！！！我会让周围的朋友们都不要来！！！！拿钱买气受呢！！！这种员工真是影响你们的形象！！ <i class=""text-icon icon-toggle-arrow""> 商家回复： 2018-07-30 我们对您的遭遇感到十分抱歉，您的意见我们已经反馈给景区，督促他们整改。另外提醒一下想要购票的游客，如果您需要在景区住宿，请购买游玩当日的门票，购买选定的日期若与游玩日期不符将会产生过期订单，由此可能产生不必要的麻烦，详情请在购票时仔细阅读说明或致电商家咨询，谢谢合作！"
上校有瓶白兰地。,2018/6/29,"首先环境很好，没有被过度开发，但是山比较低，没有去高山那种群山峻岭的视觉冲击，团购票还是很值的，特别是漂流，漂了大概一个半小时，很刺激，但是有游客没素质总是停在 <span class=""feedbackmore"">某个位置打水仗，把后面的船都堵了，大家都动不了，等他们过，而且水会砸在别人身上，希望加强管理，还有特别要强调，卢氏的人真的很善良淳朴，我没什么准备就去的，一路上遇到很多善良的人，住在离景区不远的百味轩，照顾的很周到，而且告诉我很多路线，还主动帮我安排了车，在景区里也遇见很多好人可以搭车，去跑到附近村子里还有村民打招呼，还要送我自己种的黄瓜...真的是被感动了一路，还有外地来的话建议到三门峡坐大巴然后到卢氏高速口，高速口下午四五点大概有班车的景区，否则只能碰运气等车，建议提前联系当地车，这样能省不少时间和路费，觉得玩的很愉快~感谢卢氏所有善良淳朴的人们~ <i class=""text-icon icon-toggle-arrow"">"
sGY223433118,2018/11/8,门票有点亏，不过里面挺好玩的，带小孩还是比较开心的。
IHV981646152,2018/10/5,环境优美，设施完善，假期出游好去处。
匿名用户,2018/7/30,"成人周末门票➕漂流210/人，真的挺贵的，天下漂流，爽在豫西，我感觉也是浪得虚名，很多需要人力去滑的平台，有几个洞感觉挺刺激，是夏日度假的好地方。附近住宿不贵， <span class=""feedbackmore"">回到家才发现豫西大峡谷公众号买票更便宜，还送百草园门票，心里好难过，感觉自己吃亏了。 <i class=""text-icon icon-toggle-arrow"">"
fJF639396039,2018/11/6,还可以，我们走反了。也没玩什么
fJF639396039,2018/11/6,孩子想玩漂流，也没玩成。。。。。
小小鱼果,2018/10/29,环境优美，漂流很有意思，朋友一起去的，记得带换洗衣物，
mkg410792313,2018/7/19,"环境优美 很好玩 很刺激 第二次来了 玩得很开心 服务态度也好 去的时候天气热 晒到了 防晒一定要做好 可以带上盆瓢之类的 泼水很好玩 每个险口都有工作人员 <span class=""feedbackmore"">回来的时候有车 每个人30 走一段距离有观光车 只需要十元 走山路沿途风景也很美 就是太热 顾不上观赏 总之很好玩 还会再来 <i class=""text-icon icon-toggle-arrow"">"
mlL696144670,2018/10/21,和老公还有朋友一起去的，很好玩，很刺激，当地居民也很热情，
Rbl762335916,2018/10/17,漂流超级刺激的，有好几处刺激的地方，夏天去的，当天还下了毛毛雨，很nice，一点都不热
匿名用户,2018/8/15,还可以吧！孩子们喜欢玩，漂的挺过瘾的，景区的风景很好，空气清新。推荐
eZf818777788,2018/10/23,很坑 漂流必须买景区门票加漂流票
SRT168755209,2018/8/6,"服务态度都挺好的，停车也方便，去晚了救生衣和帽子都是湿的，水还算干净，性价比不高太贵！只有6公里只漂流168，架桑漂流108，比架桑漂流放方便漂到底后就会有车接 <span class=""feedbackmore"">不用走太远！从运城这边走过路费80来回油费200左右。还是报团划算，自驾游不建议去！主要太贵了5个人3个人不漂流花了1000 <i class=""text-icon icon-toggle-arrow"">"
lFd994408644,2018/10/7,国庆假期和朋友一起去的，景色秀丽，人也不多，景区管理不错，值得再去的一个好地方！
懒猫°.,2018/10/16,景区坏境很漂亮，希望下次还有优惠活动，下次会再来
